x,y,z,freq,value
79.257,142.072,0.2,3000000000.0,-27.8240432739
79.576,142.373,0.2,3000000000.0,-28.0614719391
79.832,142.674,0.2,3000000000.0,-27.6964073181
79.993,142.975,0.2,3000000000.0,-28.1032905579
80.08,143.276,0.2,3000000000.0,-27.9782962799
80.106,143.577,0.2,3000000000.0,-28.194644928
80.066,143.878,0.2,3000000000.0,-27.7037677765
79.931,144.179,0.2,3000000000.0,-28.314239502
79.672,144.48,0.2,3000000000.0,-28.5945491791
79.353,144.781,0.2,3000000000.0,-28.3168640137
79.097,145.082,0.2,3000000000.0,-28.6479129791
78.936,145.383,0.2,3000000000.0,-29.1164608002
78.849,145.684,0.2,3000000000.0,-28.7057476044
78.823,145.985,0.2,3000000000.0,-29.2626056671
78.863,146.286,0.2,3000000000.0,-28.9905281067
78.998,146.587,0.2,3000000000.0,-28.7907924652
79.257,146.888,0.2,3000000000.0,-29.6926555634
79.576,147.189,0.2,3000000000.0,-30.0346488953
79.832,147.49,0.2,3000000000.0,-29.7436008453
79.993,147.791,0.2,3000000000.0,-29.8548851013
80.077,148.08,0.2,3000000000.0,-29.5634155273
80.077,147.33,0.2,3000000000.0,-29.8337688446
80.077,147.33,0.2,3000000000.0,-29.4969158173
82.489,147.33,0.2,3000000000.0,-29.7658042908
82.489,148.08,0.2,3000000000.0,-29.4149684906
82.514,147.791,0.2,3000000000.0,-29.9222869873
82.474,147.49,0.2,3000000000.0,-29.8737487793
82.339,147.189,0.2,3000000000.0,-32.1378936768
82.08,146.888,0.2,3000000000.0,-32.5236434937
81.761,146.587,0.2,3000000000.0,-32.5148429871
81.505,146.286,0.2,3000000000.0,-32.6094093323
81.344,145.985,0.2,3000000000.0,-32.6430130005
81.257,145.684,0.2,3000000000.0,-32.3413925171
81.231,145.383,0.2,3000000000.0,-31.5739803314
81.271,145.082,0.2,3000000000.0,-31.1804618835
81.406,144.781,0.2,3000000000.0,-31.5784549713
81.665,144.48,0.2,3000000000.0,-31.5965557098
81.984,144.179,0.2,3000000000.0,-30.9957370758
82.24,143.878,0.2,3000000000.0,-31.7895126343
82.401,143.577,0.2,3000000000.0,-31.2037830353
82.488,143.276,0.2,3000000000.0,-32.5687065125
82.514,142.975,0.2,3000000000.0,-32.3049888611
82.474,142.674,0.2,3000000000.0,-31.410484314
82.339,142.373,0.2,3000000000.0,-31.3118934631
82.08,142.072,0.2,3000000000.0,-31.8061637878
81.761,141.771,0.2,3000000000.0,-32.1914710999
81.505,141.47,0.2,3000000000.0,-31.4249248505
81.344,141.169,0.2,3000000000.0,-31.6486225128
81.257,140.868,0.2,3000000000.0,-30.5819149017
81.231,140.567,0.2,3000000000.0,-29.9783668518
81.271,140.266,0.2,3000000000.0,-29.6022338867
81.406,139.965,0.2,3000000000.0,-30.0357589722
81.665,139.664,0.2,3000000000.0,-30.479763031
81.984,139.363,0.2,3000000000.0,-29.2522010803
82.24,139.062,0.2,3000000000.0,-29.2589187622
82.401,138.761,0.2,3000000000.0,-29.2300491333
82.488,138.46,0.2,3000000000.0,-29.2816009521
82.514,138.159,0.2,3000000000.0,-29.8890075684
82.474,137.858,0.2,3000000000.0,-30.2496757507
82.339,137.557,0.2,3000000000.0,-29.4494285583
82.08,137.256,0.2,3000000000.0,-29.2282295227
81.761,136.955,0.2,3000000000.0,-29.4940986633
81.505,136.654,0.2,3000000000.0,-29.3481426239
81.344,136.353,0.2,3000000000.0,-29.1201591492
81.257,136.052,0.2,3000000000.0,-28.6561279297
81.231,135.751,0.2,3000000000.0,-28.6181983948
81.231,135.751,0.2,3000000000.0,-28.5552845001
81.271,135.45,0.2,3000000000.0,-27.873085022
81.406,135.149,0.2,3000000000.0,-27.9619216919
81.665,134.848,0.2,3000000000.0,-27.9801139832
81.984,134.547,0.2,3000000000.0,-28.1492557526
82.24,134.246,0.2,3000000000.0,-28.1134433746
82.401,133.945,0.2,3000000000.0,-27.8532733917
82.488,133.644,0.2,3000000000.0,-27.7630348206
82.514,133.343,0.2,3000000000.0,-27.9801101685
82.474,133.042,0.2,3000000000.0,-28.2122955322
82.339,132.741,0.2,3000000000.0,-28.08867836
82.08,132.44,0.2,3000000000.0,-28.0307941437
81.761,132.139,0.2,3000000000.0,-28.4303417206
81.505,131.838,0.2,3000000000.0,-28.2233047485
81.344,131.537,0.2,3000000000.0,-28.0739536285
81.257,131.236,0.2,3000000000.0,-27.3713874817
81.231,130.935,0.2,3000000000.0,-27.0092163086
81.271,130.634,0.2,3000000000.0,-27.1986103058
81.406,130.333,0.2,3000000000.0,-27.1263370514
81.665,130.032,0.2,3000000000.0,-27.0261077881
81.984,129.731,0.2,3000000000.0,-26.9567871094
82.24,129.43,0.2,3000000000.0,-26.8595714569
82.401,129.129,0.2,3000000000.0,-26.862455368
82.488,128.828,0.2,3000000000.0,-26.7129669189
82.514,128.527,0.2,3000000000.0,-27.095867157
82.474,128.226,0.2,3000000000.0,-27.0317955017
82.339,127.925,0.2,3000000000.0,-27.157995224
82.08,127.624,0.2,3000000000.0,-27.1248950958
81.761,127.323,0.2,3000000000.0,-26.8399353027
81.505,127.022,0.2,3000000000.0,-27.3234443665
81.344,126.721,0.2,3000000000.0,-26.9775924683
81.257,126.42,0.2,3000000000.0,-26.1514377594
81.231,126.119,0.2,3000000000.0,-26.1596088409
81.271,125.818,0.2,3000000000.0,-26.2653388977
81.406,125.517,0.2,3000000000.0,-26.6925048828
81.665,125.216,0.2,3000000000.0,-26.3012161255
81.984,124.915,0.2,3000000000.0,-26.0035629272
82.24,124.614,0.2,3000000000.0,-26.2092113495
82.401,124.313,0.2,3000000000.0,-26.0372962952
82.488,124.012,0.2,3000000000.0,-26.0030174255
82.514,123.711,0.2,3000000000.0,-26.1322078705
82.474,123.41,0.2,3000000000.0,-25.737159729
82.339,123.109,0.2,3000000000.0,-25.6832580566
82.339,123.109,0.2,3000000000.0,-26.1103839874
82.08,122.808,0.2,3000000000.0,-26.4119873047
81.761,122.507,0.2,3000000000.0,-26.1271839142
81.505,122.206,0.2,3000000000.0,-26.0232772827
81.344,121.905,0.2,3000000000.0,-25.670923233
81.257,121.604,0.2,3000000000.0,-25.6897068024
81.231,121.303,0.2,3000000000.0,-25.6303348541
81.271,121.002,0.2,3000000000.0,-25.8242397308
81.406,120.701,0.2,3000000000.0,-25.8727607727
81.665,120.4,0.2,3000000000.0,-25.6535873413
81.984,120.099,0.2,3000000000.0,-25.5755443573
82.24,119.798,0.2,3000000000.0,-25.2503509521
82.401,119.497,0.2,3000000000.0,-25.5615596771
82.488,119.196,0.2,3000000000.0,-25.4602985382
82.514,118.895,0.2,3000000000.0,-25.5045967102
82.474,118.594,0.2,3000000000.0,-25.839723587
82.339,118.293,0.2,3000000000.0,-25.7156429291
82.08,117.992,0.2,3000000000.0,-25.8772773743
81.761,117.691,0.2,3000000000.0,-26.5627174377
81.505,117.39,0.2,3000000000.0,-26.1932010651
81.344,117.089,0.2,3000000000.0,-25.7596416473
81.257,116.788,0.2,3000000000.0,-25.5819664001
81.231,116.487,0.2,3000000000.0,-25.3601799011
81.271,116.186,0.2,3000000000.0,-25.3834724426
81.406,115.885,0.2,3000000000.0,-25.2942790985
81.665,115.584,0.2,3000000000.0,-25.5441265106
81.984,115.283,0.2,3000000000.0,-25.3555526733
82.24,114.982,0.2,3000000000.0,-25.0105667114
82.401,114.681,0.2,3000000000.0,-25.3575534821
82.488,114.38,0.2,3000000000.0,-25.3966121674
82.514,114.079,0.2,3000000000.0,-25.2847080231
